city,physical_shops,total_leads,total_potential_spend_gbp,warm_ratio,win_rate,total_followers,priority_score,why
London,54,54,166122,0.39,0.29,645982,299.1,"54 physical shops, £166,122 potential monthly spend, 39% warm leads, 29% win rate, 645,982 combined reseller followers"
Paris,7,7,30547,0.57,1.0,109401,73.2,"7 physical shops, £30,547 potential monthly spend, 57% warm leads, 100% win rate, 109,401 combined reseller followers"
Brighton,9,9,22078,0.67,0.0,103013,55.5,"9 physical shops, £22,078 potential monthly spend, 67% warm leads, 0% win rate, 103,013 combined reseller followers"
Glasgow,4,4,9395,0.5,1.0,58826,43.6,"4 physical shops, £9,395 potential monthly spend, 50% warm leads, 100% win rate, 58,826 combined reseller followers"
Los Angeles,4,4,20889,0.5,0.0,73441,40.4,"4 physical shops, £20,889 potential monthly spend, 50% warm leads, 0% win rate, 73,441 combined reseller followers"
Bristol,7,7,14619,0.29,0.0,86063,36.1,"7 physical shops, £14,619 potential monthly spend, 29% warm leads, 0% win rate, 86,063 combined reseller followers"
Amsterdam,3,3,11752,0.67,0.0,21765,31.5,"3 physical shops, £11,752 potential monthly spend, 67% warm leads, 0% win rate, 21,765 combined reseller followers"
Berlin,4,4,9874,0.5,0.0,67107,29.2,"4 physical shops, £9,874 potential monthly spend, 50% warm leads, 0% win rate, 67,107 combined reseller followers"
New York,5,5,13421,0.2,0.0,31652,28.1,"5 physical shops, £13,421 potential monthly spend, 20% warm leads, 0% win rate, 31,652 combined reseller followers"
Leeds,3,3,3778,0.67,0.0,36245,23.8,"3 physical shops, £3,778 potential monthly spend, 67% warm leads, 0% win rate, 36,245 combined reseller followers"
Manchester,5,5,11027,0.0,0.0,90413,22.8,"5 physical shops, £11,027 potential monthly spend, 0% warm leads, 0% win rate, 90,413 combined reseller followers"
